"x1" "x2" "x3" "y"
1.32542337756604 -2.53345977840945 "A" 1
2.25463915849105 2.06228189030662 "B" 1
1.56589396996424 -2.95911789312959 "B" 0
2.31674739718437 -0.892894774675369 "A" 1
-0.261114239227027 1.11636619269848 "B" 0
-2.00176928937435 -1.47548103611916 "A" 1
-1.04942767973989 -1.95522410050035 "A" 0
0.0553460139781237 1.2426789868623 "B" 0
1.36623152252287 2.99740144517273 "A" 1
2.93842162750661 2.69805584801361 "A" 0
-2.79278738982975 -0.388315899297595 "B" 0
-2.08575905906036 2.34964070795104 "B" 0
1.4141097147949 0.523451398126781 "B" 1
-2.99318048078567 -0.936979384627193 "A" 0
-0.652779988478869 1.85725366696715 "B" 0
-0.225032075308263 0.250147702172399 "B" 1
-0.671136110555381 -2.90508800558746 "A" 1
-0.585089149419218 1.42604249110445 "A" 0
-1.92621849104762 -0.554465975146741 "B" 0
2.70995252206922 1.54542875709012 "A" 1
-0.277631560340524 -2.86301022302359 "B" 1
-1.03948554815724 -2.07166254054755 "B" 0
2.79249194031581 -2.34926326526329 "B" 1
1.2448912630789 -1.31625395966694 "A" 0
0.867255819495767 1.80784997949377 "A" 1
-0.661029090173542 2.11402582749724 "B" 0
1.19126183632761 -0.111252409871668 "A" 1
0.264347186777741 1.62231857702136 "A" 1
-1.64119692798704 0.940573694184422 "A" 1
-0.0926534696482122 0.104115975089371 "B" 0
1.75804301910102 1.67156626470387 "B" 1
-2.96407422283664 1.1556512969546 "A" 0
-1.87372532486916 1.84234083630145 "B" 0
1.09100173925981 -1.71444755746052 "A" 0
-0.779375258367509 -2.37110744370148 "A" 1
-0.830246579367667 -1.68837184505537 "B" 0
2.21276939101517 -0.376152052078396 "A" 1
2.42492799460888 -2.73727743001655 "B" 1
0.704547393601388 -1.1747120465152 "B" 0
-2.19581019273028 1.36033157631755 "A" 0
1.69315968314186 0.961226051207632 "B" 1
-0.424807080533355 -1.58737602923065 "B" 1
2.56364384992048 1.28226076578721 "B" 1
1.63945934828371 2.0620905328542 "A" 0
-1.44191251974553 1.59660497680306 "A" 0
-1.07265195949003 1.76106479438022 "B" 0
-2.63882905617356 -0.965798770543188 "B" 0
-2.73926127701998 -1.11435291543603 "A" 0
-2.66967709036544 0.0995838521048427 "A" 0
0.753256781492382 0.0291959024034441 "B" 0
2.78682173229754 0.532409811392426 "B" 1
1.96381721366197 2.83339162403718 "B" 0
-1.10983058111742 1.70511651132256 "A" 0
-1.72184729436412 0.84429411124438 "A" 0
1.39497671322897 -0.983908340334892 "A" 1
-0.00455387681722641 -2.46836941782385 "B" 1
1.37863183021545 -0.860337709542364 "A" 1
-2.51798373414204 0.0290628536604345 "A" 0
-0.38681709067896 -2.76832550531253 "A" 1
-1.58051727991551 -0.252148678991944 "A" 0
1.74940679082647 -0.436872008722275 "A" 1
-1.44789409870282 2.87596922647208 "B" 0
2.91590299084783 1.78863067226484 "A" 1
1.54124246165156 -0.767648189328611 "A" 0
2.87866948312148 -1.32879285514355 "A" 0
-1.68631296465173 -2.66288236621767 "A" 0
2.69224309874699 -0.841063025873154 "A" 1
-2.10325232287869 0.885194451548159 "B" 1
0.602141824085265 2.89648719783872 "B" 1
2.67858451092616 2.87719992036 "A" 1
1.13012014143169 1.44401751318946 "B" 1
0.033202338963747 -2.81136280484498 "A" 1
-0.762382531072944 -0.73560785735026 "A" 0
-0.985169769264758 -0.423435083124787 "B" 1
-2.71049188496545 2.2924792226404 "A" 0
0.713685234077275 0.947465260047466 "A" 0
2.76868375064805 1.26085070567206 "B" 1
0.929763057734817 -0.350064103491604 "A" 1
0.0617519491352141 -0.128606338519603 "B" 1
-2.09941073600203 -2.59174265898764 "A" 1
2.22268728213385 2.89985508145764 "B" 1
